CR Number,Title,Severity,CR Type,CR Status,Created By,CR Assignee,Created On,Parent CR,Software Image Integration Build
4098930,[FR101966][Kaanapali][MMA] Heysnapdragon UV enrollment is same as the TIUV enrollment,Medium,Bug,Closed,jialinl,jinzhang,3/28/2025 2:32:10 AM,NA,LA.QSSI.16.0-16300-qssi.1-1
4098930,[FR101966][Kaanapali][MMA] Heysnapdragon UV enrollment is same as the TIUV enrollment,Medium,Bug,Closed,jialinl,jinzhang,3/28/2025 2:32:10 AM,NA,LA.QSSI.17.0-01302-qssi.1-1
4098930,[FR101966][Kaanapali][MMA] Heysnapdragon UV enrollment is same as the TIUV enrollment,Medium,Bug,Closed,jialinl,jinzhang,3/28/2025 2:32:10 AM,NA,LA.QXSI.16.0-06102-qssi.1-2
4098930,[FR101966][Kaanapali][MMA] Heysnapdragon UV enrollment is same as the TIUV enrollment,Medium,Bug,Closed,jialinl,jinzhang,3/28/2025 2:32:10 AM,NA,NA
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,AUDIOREACH_SPF.SDK.0.0-00068-AR_SDK-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,LPAIDSP.HT.1.1-01154-PAKALA-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,MPSS.KI.1.0-00791-AMBOSELI_CORE_TEST-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,ADSP.HT.5.5.c10-00022-KODIAK-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,ADSP.VT.5.2.c7-00022-SM6150-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,LPAIDSP.HT.1.2-00570.1-KAANAPALI-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,MPSS.CY.2.0-00250-KUNO_GENAUTO_TEST-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,MPSS.KI.0.1-01279-KAANAPALI_GENPICTORRFCONVPHY_TEST-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,CDSP.HT.3.2-00505.1-KAANAPALI-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,LPAIDSP.HT.1.5-00076-BALSAM-1
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,NA
4101956,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] Low power buffer mode no ASR transcription,Medium,Bug,InProgress,jialinl,ayugupt,4/1/2025 8:42:12 AM,NA,MPSS.DE.9.0.r99-00284.1-KAANAPALI_GENTXCONV_TEST-1
4109618,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef]  Remove QSS API  for speaker Diarization,Medium,Bug,Closed,mincyao,ruocxu,4/8/2025 7:51:25 AM,NA,LA.QSSI.16.0-16300-qssi.1-1
4109618,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef]  Remove QSS API  for speaker Diarization,Medium,Bug,Closed,mincyao,ruocxu,4/8/2025 7:51:25 AM,NA,LA.QXSI.16.0-06102-qssi.1-2
4109618,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef]  Remove QSS API  for speaker Diarization,Medium,Bug,Closed,mincyao,ruocxu,4/8/2025 7:51:25 AM,NA,NA
4109618,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef]  Remove QSS API  for speaker Diarization,Medium,Bug,Closed,mincyao,ruocxu,4/8/2025 7:51:25 AM,NA,LA.QSSI.17.0-01302-qssi.1-1
4109618,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef]  Remove QSS API  for speaker Diarization,Medium,Bug,Closed,mincyao,ruocxu,4/8/2025 7:51:25 AM,NA,LA.QXSI.16.0.r1-00200-qssi.0-3
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,NA
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,ADSP.HT.5.5.c10-00022-KODIAK-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,CDSP.HT.3.2-00515-HAWI-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,LPAIDSP.HT.1.2-00578-HAWI-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,MPSS.KI.0.1-01279-KAANAPALI_GENPICTORRFCONVPHY_TEST-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,ADSP.VT.5.2.c7-00022-SM6150-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,MPSS.CY.2.0-00250-KUNO_GENAUTO_TEST-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,MPSS.KI.1.0-00791-AMBOSELI_CORE_TEST-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,AUDIOREACH_SPF.SDK.0.0-00070-AR_SDK-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,LPAIDSP.HT.1.5-00076-BALSAM-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,MPSS.DE.9.0.r99-00284.1-KAANAPALI_GENTXCONV_TEST-1
4111202,[FR101966][Kaanapali][MMA] Device would get crash when enable MMPA ASR logger function(100%),High,Bug,InProgress,jialinl,pbarman,4/9/2025 8:40:52 AM,NA,AUDIOREACH_WIN.SDK.0.0-00014-Debug-3
4115918,FW: [OPPO | case#07791882 | SM6650] Invalid dangling connection found in diff/merge due to corrupted ACDB files.,Medium,Bug,Analysis,mincyao,nsimon,4/14/2025 6:50:56 AM,NA,NA
4117293,[FR103072][Kaanapali][TTS]TTS app would get crash when click play button twice(100%),Medium,Bug,InProgress,jialinl,yongfeiz,4/15/2025 6:22:07 AM,NA,NA
4117699,[QPM][TTS][1.0.0.0][Kaanpali][LA] Missing clear path for lib in SDK readme,Medium,Bug,InProgress,haiyxiao,feisun,4/15/2025 9:41:46 AM,NA,NA
4120425,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] enable QSS API for speaker Diarization ,Medium,Bug,Closed,mincyao,ruocxu,4/17/2025 4:15:01 AM,NA,LA.QSSI.16.0-17400-qssi.1-1
4120425,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] enable QSS API for speaker Diarization ,Medium,Bug,Closed,mincyao,ruocxu,4/17/2025 4:15:01 AM,NA,NA
4120425,[FR95041][Kaanapali.LA.1.0][VoiceAIDspASRRef] enable QSS API for speaker Diarization ,Medium,Bug,Closed,mincyao,ruocxu,4/17/2025 4:15:01 AM,NA,LA.QXSI.16.0-06700-qssi.1-1
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,LA.QSSI.16.0-19700-qssi.1-1
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,NA
4122211,[FR101966][Kaanapali][MMA]UV could not delete after enrollment,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:05:35 AM,NA,LA.QXSI.16.0-08200-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,LA.QSSI.16.0-19700-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,LA.QXSI.16.0-08200-qssi.1-1
4122276,[FR101966][Kaanapali][MMA] Others' voices could activate the app while Heysnapdragon UV enabled,High,Bug,Closed,jialinl,jinzhang,4/18/2025 7:53:58 AM,NA,NA
